Ano,Mês,Valor,Estado
2015,Maio,2.0,Acre
2015,Junho,42.0,Acre
2015,Julho,118.0,Acre
2015,Agosto,1624.0,Acre
2015,Setembro,2949.0,Acre
2015,Outubro,912.0,Acre
2015,Novembro,115.0,Acre
2015,Dezembro,8.0,Acre
2016,Janeiro,13.0,Acre
2016,Fevereiro,2.0,Acre
2016,Março,,Acre
2016,Abril,1.0,Acre
2016,Maio,23.0,Acre
2016,Junho,101.0,Acre
2016,Julho,588.0,Acre
2016,Agosto,2526.0,Acre
2016,Setembro,3863.0,Acre
2016,Outubro,515.0,Acre
2016,Novembro,46.0,Acre
2016,Dezembro,6.0,Acre
2017,Janeiro,,Acre
2017,Fevereiro,4.0,Acre
2017,Março,,Acre
2017,Abril,1.0,Acre
2017,Maio,9.0,Acre
2017,Junho,39.0,Acre
2017,Julho,362.0,Acre
2017,Agosto,1318.0,Acre
2017,Setembro,3100.0,Acre
2017,Outubro,1350.0,Acre
2017,Novembro,102.0,Acre
2017,Dezembro,10.0,Acre
2018,Janeiro,,Acre
2018,Fevereiro,2.0,Acre
2018,Março,1.0,Acre
2018,Abril,5.0,Acre
2018,Maio,14.0,Acre
2018,Junho,41.0,Acre
2018,Julho,381.0,Acre
2018,Agosto,1368.0,Acre
2018,Setembro,4379.0,Acre
2018,Outubro,407.0,Acre
2018,Novembro,26.0,Acre
2018,Dezembro,2.0,Acre
2019,Janeiro,1.0,Acre
2019,Fevereiro,1.0,Acre
2019,Março,2.0,Acre
2019,Abril,6.0,Acre
2019,Maio,33.0,Acre
2019,Junho,60.0,Acre
2019,Julho,272.0,Acre
2019,Agosto,3051.0,Acre
2019,Setembro,2977.0,Acre
2019,Outubro,354.0,Acre
2019,Novembro,44.0,Acre
2019,Dezembro,1.0,Acre
2020,Janeiro,16.0,Acre
2020,Fevereiro,,Acre
2020,Março,1.0,Acre
2020,Abril,4.0,Acre
2020,Maio,39.0,Acre
2020,Junho,71.0,Acre
2020,Julho,335.0,Acre
2020,Agosto,3578.0,Acre
2020,Setembro,3357.0,Acre
2020,Outubro,1652.0,Acre
2020,Novembro,129.0,Acre
2020,Dezembro,11.0,Acre
2021,Janeiro,5.0,Acre
2021,Fevereiro,,Acre
2021,Março,3.0,Acre
2021,Abril,7.0,Acre
2021,Maio,30.0,Acre
2021,Junho,50.0,Acre
2021,Julho,433.0,Acre
2021,Agosto,3185.0,Acre
2021,Setembro,3982.0,Acre
2021,Outubro,1118.0,Acre
2021,Novembro,14.0,Acre
2021,Dezembro,1.0,Acre
2022,Janeiro,24.0,Acre
2022,Fevereiro,3.0,Acre
